trade_date,open,high,low,close,volume,amount,ts_code,pre_close,change,pct_chg,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20250314,0.988,0.999,0.981,0.996,990046.72,98175.696,159206.SZ,0.991,0.005,0.5045,990046.72,,,,,,,,0.0,0.0,0.0,,,,
20250317,1.0,1.003,0.995,0.998,223992.03,22397.334,,,,,223992.03,,,,,,,,0.0001595441595442,3.1908831908844526e-05,0.0002552706552707,,,,
20250318,0.998,1.004,0.994,1.003,320400.74,32057.641,159206.SZ,0.998,0.005,0.501,320400.74,,,,,,,,0.0006815853767421,0.0001618441408755,0.0010394824717332,,,,
20250319,1.002,1.002,0.984,0.986,166806.26,16508.421,159206.SZ,1.003,-0.017,-1.6949,166806.26,,,,,,,,-0.0002733006824531,7.481517620977485e-05,-0.0006962317173258,,,,
20250320,0.988,0.994,0.981,0.986,155291.61,15348.312,159206.SZ,0.986,0.0,0.0,155291.61,,,,371307.4719999999,,,,-0.0010183162481194,-0.000143811108656,-0.0017490102789267,,,,
20250321,0.987,0.987,0.963,0.965,191024.85,18609.474,,,,,191024.85,,,,211503.098,,,,-0.0032656268337769,-0.0007681742536802,-0.0049949051601934,,,,
20250324,0.964,0.969,0.933,0.952,136108.89,12923.814,,,,,136108.89,,,,193926.47,,,,-0.0060261621720125,-0.0018197718373467,-0.0084127806693317,,,,
20250325,0.95,0.961,0.942,0.945,90905.68,8650.0,,,,,90905.68,,,,148027.458,,,,-0.0086787051045674,-0.0031915584907908,-0.0109742932275532,,,,
20250326,0.945,0.954,0.944,0.946,63881.11,6059.995,,,,,63881.11,,,,127442.428,,,,-0.0105782335548075,-0.0046688935035942,-0.0118186801024267,,,,
20250327,0.937,0.955,0.929,0.943,97589.61,9180.894,,,,,97589.61,,,,115902.028,,,,-0.01218523466477,-0.0061721617358293,-0.0120261458578813,,,,
20250328,0.943,0.946,0.931,0.932,100031.11,9366.12,,,,,100031.11,,,,97703.28,,0.0179999999999999,,-0.0141829109228344,-0.0077743115732303,-0.012817198699208,,,,
20250331,0.929,0.932,0.913,0.927,124821.08,11491.102,159206.SZ,0.932,-0.005,-0.5365,124821.08,,,,95445.718,,0.0190999999999999,,-0.0159852736786075,-0.0094165039943058,-0.0131375393686035,,,,
20250401,0.929,0.938,0.926,0.934,138048.42,12879.925,159206.SZ,0.927,0.007,0.7551,138048.42,,,,104874.26600000002,,0.0192999999999999,,-0.0166568083313801,-0.0108645648617206,-0.0115844869393189,,,,
20250402,0.929,0.945,0.929,0.939,73004.03,6848.813,,,,,73004.03,,,,106698.85,,0.0189999999999999,,-0.0165942578931662,-0.0120105034680098,-0.0091675088503129,,,,
20250403,0.932,0.941,0.917,0.925,103072.16,9563.752,159206.SZ,0.939,-0.014,-1.4909,103072.16,,,,107795.36000000002,,0.0200999999999999,,-0.0174729519043301,-0.0131029931552738,-0.0087399174981125,7.171314741035838,42.23107569721122,,
