trade_date,open,high,low,close,volume,amount,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20111209,0.795,0.814,0.795,0.797,1061772.33,85143.979,1061772.33,,,,,,,,0.0,0.0,0.0,,,,
20111212,0.79,0.803,0.79,0.79,311065.09,24856.6952,311065.09,,,,,,,,-0.0005584045584046,-0.0001116809116809,-0.0008934472934473,,,,
20111213,0.788,0.788,0.763,0.768,967443.68,74527.4886,967443.68,,,,,,,,-0.0027445231775716,-0.000638249364859,-0.0042125476254252,,,,
20111214,0.768,0.777,0.755,0.76,816094.68,62820.1826,816094.68,,,,,,,,-0.005064194196263,-0.0015234383311398,-0.0070815117302463,,,,
20111215,0.755,0.764,0.747,0.752,417005.01,31372.8896,417005.01,,,,714676.158,,,,-0.0074620652884426,-0.0027111637226004,-0.0095018031316844,,,,
20111216,0.75,0.784,0.748,0.781,829384.39,63512.9938,829384.39,,,,668198.5700000001,,,,-0.0069423111266068,-0.0035573932034016,-0.0067698358464102,,,,
20111219,0.775,0.795,0.766,0.795,1068735.2,83155.2775,1068735.2,,,,819732.592,,,,-0.0053391725539251,-0.0039137490735063,-0.0028508469608374,,,,
20111220,0.795,0.8,0.78,0.78,651991.86,51697.415,651991.86,,,,756642.228,,,,-0.0052188882299843,-0.0041747769048019,-0.0020882226503648,,,,
20111221,0.786,0.791,0.766,0.766,485425.46,37964.7903,485425.46,,,,690508.384,,,,-0.0061819829821108,-0.0045762181202637,-0.0032115297236941,,,,
20111222,0.756,0.768,0.73,0.757,709384.09,53194.489,709384.09,,,,748984.2,,,,-0.0075840431670292,-0.0051777831296168,-0.0048125200748247,,,,
20111223,0.75,0.773,0.749,0.761,1013603.17,77374.0547,1013603.17,,,,785827.956,,0.0251,,-0.0082770072074407,-0.0057976279451816,-0.0049587585245182,,,,
20111226,0.759,0.773,0.751,0.755,456854.75,34883.8359,456854.75,,,,663451.866,,0.026,,-0.0092042353620942,-0.0064789494285641,-0.0054505718670602,,,,
20111227,0.75,0.754,0.727,0.729,1099159.71,81111.9219,1099159.71,,,,752885.436,,0.0261,,-0.0118998786700182,-0.0075631352768549,-0.0086734867863266,,,,
20111228,0.72,0.724,0.703,0.719,1157038.77,82723.7089,1157038.77,,,,887208.098,,0.0265,,-0.0146739595674515,-0.0089853001349742,-0.0113773188649545,,,,
20111229,0.713,0.726,0.711,0.718,339720.47,24384.4699,339720.47,,,,813275.3740000001,,0.0263,,-0.01675993224131,-0.0105402265562414,-0.0124394113701371,12.57309941520468,42.69005847953217,,
20111230,0.723,0.732,0.722,0.729,772575.22,56350.4103,772575.22,,,,765069.784,,0.0241,,-0.0173257520599591,-0.0118973316569849,-0.0108568408059482,14.285714285714285,41.10787172011662,,
20120104,0.735,0.739,0.708,0.708,360493.53,26238.6066,360493.53,,,,745797.54,,0.0243,,-0.0192468273929752,-0.013367230804183,-0.0117591931775844,14.121037463976943,36.887608069164266,,
20120105,0.705,0.705,0.666,0.672,663822.16,45442.4602,663822.16,,,,658730.03,,0.0265,,-0.0234044012021134,-0.0153746648837691,-0.0160594726366886,13.351498637602186,44.14168937329699,,
20120106,0.668,0.676,0.647,0.67,1387940.86,91888.7868,1387940.86,,,,704910.4480000001,,0.0269,,-0.0265545869363144,-0.0176106492942781,-0.0178878752840724,12.928759894459107,45.64643799472294,,
20120109,0.667,0.698,0.658,0.696,1778470.65,121144.4051,1778470.65,0.74515,,,992660.484,817399.054,0.0271,,-0.0266459907230951,-0.0194177175800415,-0.0144565462861071,13.315926892950372,45.16971279373368,,
20120110,0.696,0.722,0.691,0.72,755561.35,53514.9333,755561.35,0.7413,,,989257.71,802088.505,0.0278,0.02645,-0.0244994154480875,-0.0204340571536507,-0.0081307165888735,16.623376623376604,44.935064935064936,,-9.66122961104141
20120111,0.717,0.731,0.711,0.723,1259413.78,90911.698,1259413.78,0.73795,,,1169041.76,849505.9395,0.0276,0.0268,-0.0222991138457528,-0.0208070684920711,-0.0029840907073634,17.66233766233764,44.935064935064936,,-8.48101265822786
20120112,0.717,0.73,0.71,0.711,798386.2,57588.9416,798386.2,0.7351,,,1195954.568,841053.0654999999,0.0268,0.02645,-0.0212783748257385,-0.0209013297588046,-0.0007540901338678,17.894736842105242,42.105263157894726,,-7.421875000000011
20120113,0.709,0.711,0.666,0.668,2112041.12,144361.2682,2112041.12,0.7304999999999999,,,1340774.62,905850.3875,0.0286999999999999,0.0276,-0.0236663613505052,-0.0214543360771447,-0.0044240505467209,17.57105943152453,43.41085271317828,,-12.10526315789473
20120116,0.656,0.66,0.635,0.635,925035.48,60088.8615,925035.48,0.7246499999999999,,,1170087.586,931251.911,0.0304999999999999,0.0284,-0.0279000674727526,-0.0227434823562663,-0.0103131702329725,15.909090909090896,50.25252525252524,,-15.558510638297872
20120117,0.635,0.67,0.627,0.666,2269982.58,148188.8162,2269982.58,0.7189,,,1472971.832,1003281.8205,0.0334,0.02875,-0.0284261897340831,-0.0238800238318297,-0.0090923318045069,17.505995203836918,47.72182254196641,,-14.724711907810494
20120118,0.665,0.669,0.624,0.624,877041.56,56889.7233,877041.56,0.71035,,,1396497.388,993697.1385,0.0348,0.02955,-0.0318648759532557,-0.0254769942561149,-0.0127757633942815,16.82027649769584,41.013824884792605,,-21.50943396226416
20120119,0.619,0.639,0.615,0.635,1010846.32,63936.7429,1010846.32,0.7031,,,1438989.412,1011639.8615,0.033,0.02975,-0.0333183779659607,-0.027045270998084,-0.0125462139357532,16.898148148148138,37.73148148148146,47.27927091373878,-18.58974358974359
