trade_date,open,high,low,close,volume,amount,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20160914,0.98,0.985,0.977,0.98,1177240.91,115431.402,1177240.91,,,,,,,,0.0,0.0,0.0,,,,
20160919,0.979,0.985,0.979,0.982,234915.31,23072.514,234915.31,,,,,,,,0.0001595441595442,3.1908831908844526e-05,0.0002552706552707,,,,
20160920,0.982,0.983,0.978,0.98,172012.35,16855.033,172012.35,,,,,,,,0.0001231808183375,5.01632291945775e-05,0.0001460351782858,,,,
20160921,0.979,0.994,0.979,0.989,520397.81,51417.21,520397.81,,,,,,,,0.000811235969035,0.0002023777771626,0.0012177163837448,,,,
20160922,0.998,0.998,0.988,0.989,264470.76,26239.881,264470.76,,,,473807.428,,,,0.0013410656629543,0.000430115354321,0.0018219006172666,,,,
20160923,0.988,0.991,0.982,0.983,104207.35,10280.193,104207.35,,,,259200.716,,,,0.0012622591192962,0.000596544107316,0.0013314300239603,,,,
20160926,0.983,0.983,0.96,0.962,66950.17,6523.214,66950.17,,,,225607.688,,,,-0.0004890822937613,0.0003794188271005,-0.0017370022417238,,,,
20160927,0.964,0.976,0.964,0.976,75085.63,7298.807,75085.63,,,,206222.344,,,,-0.0007388331752876,0.0001557684266229,-0.0017892032038211,,,,
20160928,0.976,0.976,0.97,0.97,31315.05,3046.418,31315.05,,,,108405.792,,,,-0.0014047196702124,-0.0001563291927441,-0.0024967809549366,,,,
20160929,0.971,0.993,0.971,0.983,160640.1,15833.643,160640.1,,,,87639.66,,,,-0.0008733803751227,-0.0002997394292198,-0.0011472818918057,,,,
20160930,0.979,0.986,0.976,0.981,42554.74,4181.052,42554.74,,,,75309.138,,0.0121,,-0.0006066800114469,-0.0003611275456652,-0.0004911049315632,,,,
20161010,0.99,0.999,0.986,0.997,244512.18,24309.785,244512.18,,,,110821.54,,0.0133,,0.0008855402736146,-0.0001117939818092,0.0019946685108478,,,,
20161011,0.998,1.002,0.994,0.999,326031.68,32563.116,326031.68,,,,161010.75,,0.0136,,0.0022041112630661,0.0003513870671658,0.0037054483918007,,,,
20161012,0.995,1.0,0.994,0.997,41911.84,4178.756,41911.84,,,,163130.108,,0.0127,,0.0030525174654789,0.0008916131468284,0.004321808637301,,,,
20161013,0.997,1.002,0.994,0.999,177273.88,17724.293,177273.88,,,,166456.864,,0.0125,,0.0038419808153411,0.0014816866805309,0.0047205882696203,31.055900621118017,18.012422360248447,,
20161014,0.997,0.999,0.99,0.995,47520.54,4727.264,47520.54,,,,167450.024,,0.0125,,0.0040976346556566,0.0020048762755561,0.0041855167602009,30.487804878048784,20.1219512195122,,
20161017,0.995,0.998,0.983,0.984,34325.73,3405.221,34325.73,,,,125412.734,,0.0117,,0.0033737436797709,0.002278649756399,0.0021901878467437,28.735632183908045,22.41379310344827,,
20161018,0.982,1.007,0.982,1.005,364331.89,36497.088,364331.89,,,,133072.776,,0.0128,,0.0044433590840795,0.0027115916219351,0.0034635349242887,26.086956521739086,21.195652173913057,,
20161019,1.005,1.006,0.995,0.998,92953.93,9309.512,92953.93,,,,143281.194,,0.0133,,0.0046723357218247,0.003103740441913,0.0031371905598234,23.783783783783736,21.081081081081095,,
20161020,0.998,1.002,0.996,0.996,42789.39,4273.4,42789.39,0.98725,,,116384.296,211072.062,0.0116,,0.0046389432218038,0.0034107809978912,0.0024563244478251,24.175824175824133,18.131868131868146,,
20161021,0.997,1.013,0.995,1.002,283409.73,28512.522,283409.73,0.98835,,,163562.134,166380.50299999997,0.0123999999999999,0.01225,0.0050385480354989,0.0037363344054127,0.0026044272601723,31.07344632768353,6.214689265536731,,2.244897959183678
20161024,1.001,1.044,1.0,1.025,589777.79,60524.536,589777.79,0.9905,,,274652.546,184123.627,0.0149999999999999,0.01415,0.0071289672139154,0.0044148609671133,0.0054282124936042,41.54589371980675,5.314009661835755,,4.378818737270862
20161025,1.024,1.024,1.015,1.019,42577.41,4336.009,42577.41,0.99245,,,210301.65,177651.88,0.0151999999999999,0.0144,0.008206885747274,0.0051732659231454,0.0060672396482571,40.75829383886255,5.2132701421801,,3.979591836734686
20161026,1.019,1.026,1.014,1.016,56626.43,5775.667,56626.43,0.9938,,,203036.15,154463.31100000002,0.0157999999999999,0.01425,0.0087185668119021,0.0058823261008968,0.0056724814220107,35.499999999999986,5.500000000000006,,2.7300303336703857
