ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,volume
000985.SH,20050104,984.398,995.341,995.341,982.593,1000.0,-15.602,-1.5602,11065233.5,6429268.155,
000985.SH,20050105,997.134,983.513,1000.139,983.23,984.398,12.736,1.2938,12766989.61,7531883.702,
000985.SH,20050106,987.528,997.624,997.624,984.555,997.134,-9.606,-0.9634,11026554.97,6515273.213,
000985.SH,20050107,989.611,986.91,1000.401,984.028,987.528,2.083,0.2109,12644922.53,7726490.272,
000985.SH,20050110,998.967,989.121,998.967,985.737,989.611,9.356,0.9454,10550586.18,6429718.664,
000985.SH,20050111,1001.779,999.142,1003.403,994.984,998.967,2.812,0.2815,10936988.25,6532362.494,
000985.SH,20050112,1001.3,998.795,1001.3,993.283,1001.779,-0.479,-0.0478,10535803.09,6093923.12,
000985.SH,20050113,1002.702,1000.534,1004.491,998.062,1001.3,1.402,0.14,13274286.94,7998573.181,
000985.SH,20050114,992.284,1002.488,1009.075,992.085,1002.702,-10.418,-1.039,13899505.0,7830144.46,
000985.SH,20050117,970.812,983.124,984.26,968.58,992.284,-21.472,-2.1639,14983516.94,8305820.1,
000985.SH,20050118,980.544,970.495,980.544,965.918,970.812,9.732,1.0025,14835485.72,8078482.836,
000985.SH,20050119,974.092,980.222,980.222,971.874,980.544,-6.452,-0.658,13544687.59,7128202.277,
000985.SH,20050120,962.024,970.523,970.523,957.806,974.092,-12.068,-1.2389,15023285.58,8312744.972,
000985.SH,20050121,984.274,960.481,984.274,948.657,962.024,22.25,2.3128,24394545.29,13397471.259,
000985.SH,20050124,1001.43,996.023,1001.74,990.688,984.274,17.156,1.743,26312109.74,14751497.584,
000985.SH,20050125,997.723,998.963,998.963,986.735,1001.43,-3.707,-0.3702,17695814.34,10395859.189,
000985.SH,20050126,988.751,993.67,997.4,987.812,997.723,-8.972,-0.8992,14510113.6,8364413.136,
000985.SH,20050127,973.29,986.565,986.565,972.954,988.751,-15.461,-1.5637,13805974.06,7679686.764,
000985.SH,20050128,962.246,973.29,973.424,959.529,973.29,-11.044,-1.1347,12517329.1,6666637.118,
000985.SH,20050131,941.299,958.52,958.52,940.515,962.246,-20.947,-2.1769,13569271.99,7182866.544,
000985.SH,20050201,937.55,939.16,949.896,936.215,941.299,-3.749,-0.3983,14444511.63,7653039.134,
