trade_date,open,high,low,close,volume
20161219,262.76,262.76,262.76,262.76,0
20161220,262.06,262.06,262.06,262.06,0
20161221,260.97,260.97,260.97,260.97,0
20161222,260.0,260.0,260.0,260.0,0
20161223,260.07,260.07,260.07,260.07,0
20161226,261.4,261.4,261.4,261.4,0
20161227,261.67,261.67,261.67,261.67,0
20161228,261.91,261.91,261.91,261.91,0
20161229,262.99,262.99,262.99,262.99,0
20161230,263.9,263.9,263.9,263.9,0
20170103,263.65,263.65,263.65,263.65,0
20170104,264.87,264.87,264.87,264.87,0
20170105,264.73,264.73,264.73,264.73,0
20170106,265.29,265.29,265.29,265.29,0
20170109,265.89,265.89,265.89,265.89,0
20170110,268.11,268.11,268.11,268.11,0
20170111,269.09,269.09,269.09,269.09,0
20170112,269.33,269.33,269.33,269.33,0
20170113,268.79,268.79,268.79,268.79,0
20170116,270.5,270.5,270.5,270.5,0
20170117,272.18,272.18,272.18,272.18,0
20170118,271.03,271.03,271.03,271.03,0
20170119,268.03,268.03,268.03,268.03,0
20170120,269.05,269.05,269.05,269.05,0
20170123,270.28,270.28,270.28,270.28,0
20170124,269.85,269.85,269.85,269.85,0
20170125,268.07,268.07,268.07,268.07,0
20170126,266.25,266.25,266.25,266.25,0
20170203,269.3,269.3,269.3,269.3,0
20170206,271.79,271.79,271.79,271.79,0
20170207,274.16,274.16,274.16,274.16,0
20170208,274.35,274.35,274.35,274.35,0
20170209,276.31,276.31,276.31,276.31,0
20170210,272.83,272.83,272.83,272.83,0
20170213,274.64,274.64,274.64,274.64,0
20170214,274.06,274.06,274.06,274.06,0
20170215,273.4,273.4,273.4,273.4,0
20170216,274.93,274.93,274.93,274.93,0
20170217,275.75,275.75,275.75,275.75,0
20170220,275.5,275.5,275.5,275.5,0
20170221,275.55,275.55,275.55,275.55,0
20170222,275.6,275.6,275.6,275.6,0
20170223,276.2,276.2,276.2,276.2,0
20170224,279.63,279.63,279.63,279.63,0
20170227,280.6,280.6,280.6,280.6,0
