trade_date,open,high,low,close,volume
2016/1/11,19997.42,20068.78,19865.18,19888.5,21869500416
2016/1/12,20030.03,20130.8,19694.99,19711.76,19299000320
2016/1/13,20028.86,20234.78,19850.73,19934.88,19338000384
2016/1/14,19578.92,19893.88,19509.08,19817.41,18858250240
2016/1/15,19781.46,19828.93,19500.38,19520.77,18414749696
2016/1/18,19287.38,19439.49,19195.56,19237.45,18756249600
2016/1/19,19283.57,19647.75,19204.22,19635.81,20748999680
2016/1/20,19332.22,19332.22,18833.88,18886.3,23067249664
2016/1/21,19079.13,19238.27,18534.3,18542.15,24122500096
2016/1/22,19000.79,19152.8,18769.61,19080.51,22475500544
2016/1/25,19341.41,19490.27,19291.91,19340.14,18604749824
2016/1/26,19068.84,19098.07,18811.83,18860.8,19301250048
2016/1/27,19211.86,19216.99,18931.34,19052.45,19043000320
2016/1/28,19093.77,19223.59,18982.22,19195.83,18867999744
2016/1/29,19138.42,19709.99,19130.59,19683.11,22640249856
2016/1/4,21782.62,21794.84,21227.61,21327.12,18460999680
2016/1/5,21318.69,21452.74,21095.9,21188.72,18108749824
2016/1/6,21142.63,21199.62,20947.3,20980.81,18793750528
2016/1/7,20772.6,20826.44,20323.97,20333.34,26799750144
2016/1/8,20491.88,20596.42,20324.62,20453.71,21392499712
2016/10/11,24013.84,24064.5,23441.07,23549.52,21280499712
2016/10/12,23386.92,23444.67,23267.63,23407.05,17087500032
2016/10/13,23300.38,23347.97,23006.12,23031.3,18628750336
2016/10/14,23119.96,23318.36,23087.14,23233.31,14480750080
2016/10/17,23164.54,23177.19,22978.01,23037.54,13396750080
2016/10/18,23130.2,23402.89,23130.2,23394.39,14424000000
2016/10/19,23393.8,23445.56,23234.67,23304.97,13055500032
2016/10/20,23412.68,23500.82,23360.55,23374.4,12607750144
2016/10/24,23431.63,23620.09,23235.61,23604.08,18517000192
2016/10/25,23581.69,23631.34,23506.64,23565.11,13328250112
2016/10/26,23396.14,23464.03,23310.23,23325.43,13028250112
2016/10/27,23347.19,23352.62,23002.53,23132.35,14685750016
2016/10/28,23088.83,23157.73,22847.73,22954.81,16428000000
2016/10/3,23652.83,23698.3,23500.71,23584.43,11732250112
2016/10/31,22845.82,23045.53,22775.29,22934.54,14450500096
2016/10/4,23665.35,23689.44,23518.56,23689.44,12438249984
2016/10/5,23619.91,23847.46,23566.22,23788.31,12593500160
2016/10/6,23859.41,24004.09,23826.45,23952.5,15935249920
2016/10/7,23948.95,23948.95,23770.14,23851.82,12260999936
2016/11/1,23015.06,23268.05,23015.06,23147.07,16406000128
2016/11/10,22848.74,22918.34,22777.51,22839.11,17971000320
2016/11/11,22622.46,22673.31,22442.75,22531.09,22473750528
2016/11/14,22344.23,22359.01,22118.87,22222.22,19371249664
