trade_date,open,high,low,close,volume
20050103,2152.15,2152.15,2152.15,2152.15,0
20050104,2107.86,2107.86,2107.86,2107.86,0
20050105,2091.24,2091.24,2091.24,2091.24,0
20050106,2090.0,2090.0,2090.0,2090.0,0
20050107,2088.61,2088.61,2088.61,2088.61,0
20050110,2097.04,2097.04,2097.04,2097.04,0
20050111,2079.62,2079.62,2079.62,2079.62,0
20050112,2092.53,2092.53,2092.53,2092.53,0
20050113,2070.56,2070.56,2070.56,2070.56,0
20050114,2087.91,2087.91,2087.91,2087.91,0
20050118,2106.04,2106.04,2106.04,2106.04,0
20050119,2073.59,2073.59,2073.59,2073.59,0
20050120,2045.88,2045.88,2045.88,2045.88,0
20050121,2034.27,2034.27,2034.27,2034.27,0
20050124,2008.7,2008.7,2008.7,2008.7,0
20050125,2019.95,2019.95,2019.95,2019.95,0
20050126,2046.09,2046.09,2046.09,2046.09,0
20050127,2047.15,2047.15,2047.15,2047.15,0
20050128,2035.83,2035.83,2035.83,2035.83,0
20050131,2062.41,2062.41,2062.41,2062.41,0
20050201,2068.7,2068.7,2068.7,2068.7,0
20050202,2075.06,2075.06,2075.06,2075.06,0
20050203,2057.64,2057.64,2057.64,2057.64,0
20050204,2086.66,2086.66,2086.66,2086.66,0
20050207,2082.03,2082.03,2082.03,2082.03,0
20050208,2086.68,2086.68,2086.68,2086.68,0
20050209,2052.55,2052.55,2052.55,2052.55,0
20050210,2053.1,2053.1,2053.1,2053.1,0
20050211,2076.66,2076.66,2076.66,2076.66,0
20050214,2082.91,2082.91,2082.91,2082.91,0
20050215,2089.21,2089.21,2089.21,2089.21,0
20050216,2087.43,2087.43,2087.43,2087.43,0
20050217,2061.34,2061.34,2061.34,2061.34,0
20050218,2058.62,2058.62,2058.62,2058.62,0
20050222,2030.32,2030.32,2030.32,2030.32,0
20050223,2031.25,2031.25,2031.25,2031.25,0
20050224,2051.7,2051.7,2051.7,2051.7,0
20050225,2065.4,2065.4,2065.4,2065.4,0
20050228,2051.72,2051.72,2051.72,2051.72,0
20050301,2071.25,2071.25,2071.25,2071.25,0
20050302,2067.5,2067.5,2067.5,2067.5,0
20050303,2058.4,2058.4,2058.4,2058.4,0
20050304,2070.61,2070.61,2070.61,2070.61,0
20050307,2090.21,2090.21,2090.21,2090.21,0
20050308,2073.55,2073.55,2073.55,2073.55,0
20050309,2061.29,2061.29,2061.29,2061.29,0
20050310,2059.72,2059.72,2059.72,2059.72,0
20050311,2041.6,2041.6,2041.6,2041.6,0
20050314,2051.04,2051.04,2051.04,2051.04,0
20050315,2034.98,2034.98,2034.98,2034.98,0
20050316,2015.75,2015.75,2015.75,2015.75,0
20050317,2016.42,2016.42,2016.42,2016.42,0
20050318,2007.79,2007.79,2007.79,2007.79,0
20050321,2007.51,2007.51,2007.51,2007.51,0
20050322,1989.34,1989.34,1989.34,1989.34,0
20050323,1990.22,1990.22,1990.22,1990.22,0
20050324,1991.06,1991.06,1991.06,1991.06,0
20050328,1992.52,1992.52,1992.52,1992.52,0
20050329,1973.88,1973.88,1973.88,1973.88,0
20050330,2005.67,2005.67,2005.67,2005.67,0
20050331,1999.23,1999.23,1999.23,1999.23,0
20050401,1984.81,1984.81,1984.81,1984.81,0
20050404,1991.07,1991.07,1991.07,1991.07,0
20050405,1999.32,1999.32,1999.32,1999.32,0
20050406,1999.14,1999.14,1999.14,1999.14,0
20050407,2018.79,2018.79,2018.79,2018.79,0
20050408,1999.35,1999.35,1999.35,1999.35,0
20050411,1992.12,1992.12,1992.12,1992.12,0
20050412,2005.4,2005.4,2005.4,2005.4,0
20050413,1974.37,1974.37,1974.37,1974.37,0
20050414,1946.71,1946.71,1946.71,1946.71,0
20050415,1908.15,1908.15,1908.15,1908.15,0
20050418,1912.92,1912.92,1912.92,1912.92,0
20050419,1932.36,1932.36,1932.36,1932.36,0
20050420,1913.76,1913.76,1913.76,1913.76,0
20050421,1962.41,1962.41,1962.41,1962.41,0
