trade_date,open,high,low,close,volume
20160418,2094.34,2094.34,2094.34,2094.34,0
20160419,2100.8,2100.8,2100.8,2100.8,0
20160420,2102.4,2102.4,2102.4,2102.4,0
20160421,2091.48,2091.48,2091.48,2091.48,0
20160422,2091.58,2091.58,2091.58,2091.58,0
20160425,2087.79,2087.79,2087.79,2087.79,0
20160426,2091.7,2091.7,2091.7,2091.7,0
20160427,2095.15,2095.15,2095.15,2095.15,0
20160428,2075.81,2075.81,2075.81,2075.81,0
20160429,2065.3,2065.3,2065.3,2065.3,0
20160502,2081.43,2081.43,2081.43,2081.43,0
20160503,2063.37,2063.37,2063.37,2063.37,0
20160504,2051.12,2051.12,2051.12,2051.12,0
20160505,2050.63,2050.63,2050.63,2050.63,0
20160506,2057.14,2057.14,2057.14,2057.14,0
20160509,2058.69,2058.69,2058.69,2058.69,0
20160510,2084.39,2084.39,2084.39,2084.39,0
20160511,2064.46,2064.46,2064.46,2064.46,0
20160512,2064.11,2064.11,2064.11,2064.11,0
20160513,2046.61,2046.61,2046.61,2046.61,0
20160516,2066.66,2066.66,2066.66,2066.66,0
20160517,2047.21,2047.21,2047.21,2047.21,0
20160518,2047.63,2047.63,2047.63,2047.63,0
20160519,2040.04,2040.04,2040.04,2040.04,0
20160520,2052.32,2052.32,2052.32,2052.32,0
20160523,2048.04,2048.04,2048.04,2048.04,0
20160524,2076.06,2076.06,2076.06,2076.06,0
20160525,2090.54,2090.54,2090.54,2090.54,0
20160526,2090.1,2090.1,2090.1,2090.1,0
20160527,2099.06,2099.06,2099.06,2099.06,0
20160531,2096.96,2096.96,2096.96,2096.96,0
20160601,2099.33,2099.33,2099.33,2099.33,0
20160602,2105.26,2105.26,2105.26,2105.26,0
20160603,2099.13,2099.13,2099.13,2099.13,0
20160606,2109.41,2109.41,2109.41,2109.41,0
20160607,2112.13,2112.13,2112.13,2112.13,0
20160608,2119.12,2119.12,2119.12,2119.12,0
20160609,2115.48,2115.48,2115.48,2115.48,0
20160610,2096.07,2096.07,2096.07,2096.07,0
20160613,2079.06,2079.06,2079.06,2079.06,0
20160614,2075.32,2075.32,2075.32,2075.32,0
20160615,2071.5,2071.5,2071.5,2071.5,0
20160616,2077.99,2077.99,2077.99,2077.99,0
20160617,2071.22,2071.22,2071.22,2071.22,0
20160620,2083.25,2083.25,2083.25,2083.25,0
20160621,2088.9,2088.9,2088.9,2088.9,0
20160622,2085.45,2085.45,2085.45,2085.45,0
20160623,2113.32,2113.32,2113.32,2113.32,0
20160624,2037.41,2037.41,2037.41,2037.41,0
20160627,2000.54,2000.54,2000.54,2000.54,0
20160628,2036.09,2036.09,2036.09,2036.09,0
20160629,2070.77,2070.77,2070.77,2070.77,0
20160630,2098.86,2098.86,2098.86,2098.86,0
20160701,2102.95,2102.95,2102.95,2102.95,0
20160705,2088.55,2088.55,2088.55,2088.55,0
20160706,2099.73,2099.73,2099.73,2099.73,0
20160707,2097.9,2097.9,2097.9,2097.9,0
20160708,2129.9,2129.9,2129.9,2129.9,0
20160711,2137.16,2137.16,2137.16,2137.16,0
20160712,2152.14,2152.14,2152.14,2152.14,0
20160713,2152.43,2152.43,2152.43,2152.43,0
20160714,2163.75,2163.75,2163.75,2163.75,0
20160715,2161.74,2161.74,2161.74,2161.74,0
20160718,2166.89,2166.89,2166.89,2166.89,0
20160719,2163.78,2163.78,2163.78,2163.78,0
20160720,2173.02,2173.02,2173.02,2173.02,0
20160721,2165.17,2165.17,2165.17,2165.17,0
20160722,2175.03,2175.03,2175.03,2175.03,0
20160725,2168.48,2168.48,2168.48,2168.48,0
20160726,2169.18,2169.18,2169.18,2169.18,0
20160727,2166.58,2166.58,2166.58,2166.58,0
20160728,2170.06,2170.06,2170.06,2170.06,0
20160729,2173.6,2173.6,2173.6,2173.6,0
