date,state,state_duration
20150105,SIDEWAYS,2
20150106,SIDEWAYS,3
20150107,SIDEWAYS,4
20150108,SIDEWAYS,5
20150109,SIDEWAYS,6
20150112,SIDEWAYS,7
20150113,SIDEWAYS,8
20150114,SIDEWAYS,9
20150115,SIDEWAYS,10
20150116,SIDEWAYS,11
20150119,SIDEWAYS,12
20150120,SIDEWAYS,13
20150121,SIDEWAYS,14
20150122,SIDEWAYS,15
20150123,SIDEWAYS,16
20150126,SIDEWAYS,17
20150127,SIDEWAYS,18
20150128,SIDEWAYS,19
20150129,SIDEWAYS,20
20150130,SIDEWAYS,21
20150202,SIDEWAYS,22
20150203,SIDEWAYS,23
20150204,SIDEWAYS,24
20150205,SIDEWAYS,25
20150206,SIDEWAYS,26
20150209,SIDEWAYS,27
20150210,SIDEWAYS,28
20150211,SIDEWAYS,29
20150212,SIDEWAYS,30
20150213,SIDEWAYS,31
20150216,SIDEWAYS,32
20150217,SIDEWAYS,33
20150225,SIDEWAYS,34
20150226,SIDEWAYS,35
20150227,SIDEWAYS,36
20150302,SYSTEMIC_BULL,1
20150303,SYSTEMIC_BULL,2
20150304,SIDEWAYS,1
20150305,SIDEWAYS,2
20150306,SIDEWAYS,3
20150309,SIDEWAYS,4
20150310,SIDEWAYS,5
20150311,SIDEWAYS,6
20150312,SYSTEMIC_BULL,1
20150313,SIDEWAYS,1
20150316,SYSTEMIC_BULL,1
20150317,SYSTEMIC_BULL,2
20150318,SYSTEMIC_BULL,3
20150319,SYSTEMIC_BULL,4
20150320,SYSTEMIC_BULL,5
20150323,SYSTEMIC_BULL,6
20150324,SYSTEMIC_BULL,7
20150325,SYSTEMIC_BULL,8
20150326,SYSTEMIC_BULL,9
20150327,SIDEWAYS,1
20150330,SYSTEMIC_BULL,1
20150331,SYSTEMIC_BULL,2
20150401,SIDEWAYS,1
20150402,SIDEWAYS,2
20150403,SIDEWAYS,3
20150407,SYSTEMIC_BULL,1
20150408,SYSTEMIC_BULL,2
20150409,SYSTEMIC_BULL,3
20150410,SIDEWAYS,1
20150413,SIDEWAYS,2
20150414,SIDEWAYS,3
20150415,SIDEWAYS,4
20150416,SIDEWAYS,5
20150417,SYSTEMIC_BULL,1
20150420,SYSTEMIC_BULL,2
20150421,SIDEWAYS,1
20150422,SYSTEMIC_BULL,1
20150423,SYSTEMIC_BULL,2
20150424,SIDEWAYS,1
20150427,SYSTEMIC_BULL,1
20150428,SYSTEMIC_BULL,2
20150429,SIDEWAYS,1
20150430,SIDEWAYS,2
20150504,SIDEWAYS,3
20150505,SIDEWAYS,4
20150506,SIDEWAYS,5
20150507,SIDEWAYS,6
20150508,SIDEWAYS,7
20150511,SIDEWAYS,8
20150512,SIDEWAYS,9
20150513,SIDEWAYS,10
20150514,SIDEWAYS,11
20150515,SIDEWAYS,12
20150518,SIDEWAYS,13
20150519,SIDEWAYS,14
20150520,SIDEWAYS,15
20150521,SIDEWAYS,16
20150522,SYSTEMIC_BULL,1
20150525,SYSTEMIC_BULL,2
20150526,SYSTEMIC_BULL,3
20150527,SYSTEMIC_BULL,4
20150528,SYSTEMIC_BULL,5
20150529,SIDEWAYS,1
20150601,SIDEWAYS,2
20150602,SIDEWAYS,3
20150603,SIDEWAYS,4
20150604,SIDEWAYS,5
20150605,SYSTEMIC_BULL,1
20150608,SYSTEMIC_BULL,2
20150609,SYSTEMIC_BULL,3
20150610,SIDEWAYS,1
20150611,SIDEWAYS,2
20150612,SIDEWAYS,3
20150615,SIDEWAYS,4
20150616,SIDEWAYS,5
20150617,SIDEWAYS,6
20150618,SIDEWAYS,7
20150619,SYSTEMIC_BEAR,1
20150623,SIDEWAYS,1
20150624,SIDEWAYS,2
20150625,SYSTEMIC_BEAR,1
20150626,SYSTEMIC_BEAR,2
20150629,SYSTEMIC_BEAR,3
20150630,SYSTEMIC_BEAR,4
20150701,SYSTEMIC_BEAR,5
20150702,SYSTEMIC_BEAR,6
20150703,SYSTEMIC_BEAR,7
20150706,SYSTEMIC_BEAR,8
20150707,SYSTEMIC_BEAR,9
20150708,SYSTEMIC_BEAR,10
20150709,SYSTEMIC_BEAR,11
20150710,SYSTEMIC_BEAR,12
20150713,SYSTEMIC_BEAR,13
20150714,SYSTEMIC_BEAR,14
20150715,SYSTEMIC_BEAR,15
20150716,SYSTEMIC_BEAR,16
20150717,SYSTEMIC_BEAR,17
20150720,SYSTEMIC_BEAR,18
20150721,SYSTEMIC_BEAR,19
20150722,SYSTEMIC_BEAR,20
20150723,SYSTEMIC_BEAR,21
20150724,SYSTEMIC_BEAR,22
20150727,SYSTEMIC_BEAR,23
20150728,SYSTEMIC_BEAR,24
20150729,SYSTEMIC_BEAR,25
20150730,SYSTEMIC_BEAR,26
20150731,SYSTEMIC_BEAR,27
20150803,SYSTEMIC_BEAR,28
20150804,SYSTEMIC_BEAR,29
20150805,SYSTEMIC_BEAR,30
20150806,SYSTEMIC_BEAR,31
20150807,SYSTEMIC_BEAR,32
20150810,SYSTEMIC_BEAR,33
20150811,SYSTEMIC_BEAR,34
20150812,SYSTEMIC_BEAR,35
20150813,SYSTEMIC_BEAR,36
20150814,SYSTEMIC_BEAR,37
20150817,SYSTEMIC_BEAR,38
20150818,SYSTEMIC_BEAR,39
20150819,SYSTEMIC_BEAR,40
20150820,SYSTEMIC_BEAR,41
20150821,SYSTEMIC_BEAR,42
20150824,SYSTEMIC_BEAR,43
20150825,SYSTEMIC_BEAR,44
20150826,SYSTEMIC_BEAR,45
20150827,SYSTEMIC_BEAR,46
20150828,SYSTEMIC_BEAR,47
20150831,SYSTEMIC_BEAR,48
20150901,SYSTEMIC_BEAR,49
20150902,SYSTEMIC_BEAR,50
20150907,SYSTEMIC_BEAR,51
20150908,SYSTEMIC_BEAR,52
20150909,SYSTEMIC_BEAR,53
20150910,SYSTEMIC_BEAR,54
20150911,SYSTEMIC_BEAR,55
20150914,SYSTEMIC_BEAR,56
20150915,SYSTEMIC_BEAR,57
20150916,SYSTEMIC_BEAR,58
20150917,SYSTEMIC_BEAR,59
20150918,SYSTEMIC_BEAR,60
20150921,SYSTEMIC_BEAR,61
20150922,SYSTEMIC_BEAR,62
20150923,SYSTEMIC_BEAR,63
20150924,SYSTEMIC_BEAR,64
20150925,SYSTEMIC_BEAR,65
20150928,SYSTEMIC_BEAR,66
20150929,SYSTEMIC_BEAR,67
20150930,SYSTEMIC_BEAR,68
20151008,SYSTEMIC_BEAR,69
20151009,SYSTEMIC_BEAR,70
20151012,SYSTEMIC_BEAR,71
20151013,SYSTEMIC_BEAR,72
20151014,SYSTEMIC_BEAR,73
20151015,SYSTEMIC_BEAR,74
20151016,SYSTEMIC_BEAR,75
20151019,SYSTEMIC_BEAR,76
20151020,SYSTEMIC_BEAR,77
20151021,SYSTEMIC_BEAR,78
20151022,SYSTEMIC_BEAR,79
20151023,SYSTEMIC_BEAR,80
20151026,SIDEWAYS_UP,1
20151027,SIDEWAYS_UP,2
20151028,SIDEWAYS_UP,3
20151029,SIDEWAYS_UP,4
20151030,SIDEWAYS_UP,5
20151102,SIDEWAYS_UP,6
20151103,SYSTEMIC_BEAR,1
20151104,SIDEWAYS_UP,1
20151105,SYSTEMIC_BULL,1
20151106,SYSTEMIC_BULL,2
20151109,SYSTEMIC_BULL,3
20151110,SYSTEMIC_BULL,4
20151111,SIDEWAYS,1
20151112,SIDEWAYS,2
20151113,SIDEWAYS,3
20151116,SIDEWAYS,4
20151117,SYSTEMIC_BULL,1
20151118,SIDEWAYS,1
20151119,SIDEWAYS,2
20151120,SIDEWAYS,3
20151123,SIDEWAYS,4
20151124,SIDEWAYS,5
20151125,SIDEWAYS,6
20151126,SIDEWAYS,7
20151127,SIDEWAYS,8
20151130,SIDEWAYS,9
20151201,SIDEWAYS,10
20151202,SIDEWAYS,11
20151203,SIDEWAYS,12
20151204,SIDEWAYS,13
20151207,SIDEWAYS,14
20151208,SIDEWAYS,15
20151209,SIDEWAYS,16
20151210,SIDEWAYS,17
20151211,SIDEWAYS,18
20151214,SIDEWAYS,19
20151215,SIDEWAYS,20
20151216,SIDEWAYS,21
20151217,SIDEWAYS,22
20151218,SIDEWAYS,23
20151221,SYSTEMIC_BULL,1
20151222,SIDEWAYS,1
20151223,SYSTEMIC_BULL,1
20151224,SIDEWAYS,1
20151225,SIDEWAYS,2
20151228,SIDEWAYS,3
20151229,SIDEWAYS,4
20151230,SIDEWAYS,5
20151231,SIDEWAYS,6
20160104,SYSTEMIC_BEAR,1
20160105,SYSTEMIC_BEAR,2
20160106,SYSTEMIC_BEAR,3
20160107,SYSTEMIC_BEAR,4
20160108,SYSTEMIC_BEAR,5
20160111,SYSTEMIC_BEAR,6
20160112,SYSTEMIC_BEAR,7
20160113,SYSTEMIC_BEAR,8
20160114,SYSTEMIC_BEAR,9
20160115,SYSTEMIC_BEAR,10
20160118,SYSTEMIC_BEAR,11
20160119,SYSTEMIC_BEAR,12
20160120,SYSTEMIC_BEAR,13
20160121,SYSTEMIC_BEAR,14
20160122,SYSTEMIC_BEAR,15
20160125,SYSTEMIC_BEAR,16
20160126,SYSTEMIC_BEAR,17
20160127,SYSTEMIC_BEAR,18
20160128,SYSTEMIC_BEAR,19
20160129,SYSTEMIC_BEAR,20
20160201,SYSTEMIC_BEAR,21
20160202,SYSTEMIC_BEAR,22
20160203,SYSTEMIC_BEAR,23
20160204,SYSTEMIC_BEAR,24
20160205,SYSTEMIC_BEAR,25
20160215,SYSTEMIC_BEAR,26
20160216,SYSTEMIC_BEAR,27
20160217,SYSTEMIC_BEAR,28
20160218,SYSTEMIC_BEAR,29
20160219,SYSTEMIC_BEAR,30
20160222,SYSTEMIC_BEAR,31
