code,name,asset_class,vol_class,benchmark_1,benchmark_2,m_group
563360.SH,中证A500,宽基,Low,000300.SH,000852.SH,A股
510050.SH,上证50,宽基,Low,000300.SH,000852.SH,A股
510300.SH,沪深300,宽基,Low,000300.SH,000852.SH,A股
510500.SH,中证500,宽基,Low,000300.SH,000852.SH,A股
512100.SH,中证1000,宽基,High,000300.SH,000852.SH,A股
588000.SH,科创50,宽基,High,000300.SH,000852.SH,A股
159682.SZ,创业板50,宽基,High,000300.SH,000852.SH,A股
159915.SZ,创业板,宽基,High,000300.SH,000852.SH,A股
515220.SH,煤炭,行业,Low,000300.SH,000852.SH,A股
159611.SZ,电力,行业,Low,000300.SH,000852.SH,A股
512890.SH,红利低波,行业,Low,000300.SH,000852.SH,A股
512800.SH,银行,行业,Low,000300.SH,000852.SH,A股
561960.SH,央企回报,行业,Low,000300.SH,000852.SH,A股
512400.SH,有色金属,行业,High,000300.SH,000852.SH,A股
562500.SH,机器人,行业,High,000300.SH,000852.SH,A股
159667.SZ,工业母机,行业,High,000300.SH,000852.SH,A股
560710.SH,船舶,行业,High,000300.SH,000852.SH,A股
512660.SH,军工,行业,High,000300.SH,000852.SH,A股
560280.SH,工程机械,行业,High,000300.SH,000852.SH,A股
516510.SH,云计算,行业,High,000300.SH,000852.SH,A股
588200.SH,科创芯片,行业,High,000300.SH,000852.SH,A股
159516.SZ,半导体设备,行业,High,000300.SH,000852.SH,A股
515880.SH,通信,行业,High,000300.SH,000852.SH,A股
512980.SH,传媒,行业,High,000300.SH,000852.SH,A股
159888.SZ,智能汽车,行业,High,000300.SH,000852.SH,A股
516160.SH,新能源,行业,High,000300.SH,000852.SH,A股
515790.SH,光伏,行业,High,000300.SH,000852.SH,A股
159755.SZ,电池,行业,High,000300.SH,000852.SH,A股
159566.SZ,储能,行业,High,000300.SH,000852.SH,A股
516150.SH,稀土,行业,High,000300.SH,000852.SH,A股
516220.SH,细分化工,行业,High,000300.SH,000852.SH,A股
512000.SH,证券,行业,High,000300.SH,000852.SH,A股
515170.SH,食品饮料,行业,High,000300.SH,000852.SH,A股
159996.SZ,家电,行业,High,000300.SH,000852.SH,A股
159873.SZ,医疗设备,行业,High,000300.SH,000852.SH,A股
512170.SH,综合医疗,行业,High,000300.SH,000852.SH,A股
560080.SH,中药,行业,High,000300.SH,000852.SH,A股
159206.SZ,卫星,行业,High,000300.SH,000852.SH,A股
159326.SZ,电网设备,行业,High,000300.SH,000852.SH,A股
159363.SZ,人工智能,行业,High,000300.SH,000852.SH,A股
515400.SH,大数据,行业,High,000300.SH,000852.SH,A股
513100.SH,纳指100,跨境,High,NDX.GI,,跨境
513500.SH,标普500,跨境,High,SPX.GI,,跨境
513180.SH,恒生科技,跨境,High,HSTECH.HK,,跨境
513050.SH,中概互联网,跨境,High,H30533.CSI,,跨境
159570.SZ,港股创新药,跨境,High,HSBI.HK,,跨境
513060.SH,恒生医疗,跨境,High,HSHCI.HK,,跨境
513880.SH,日经225,跨境,High,N225,,跨境
518880.SH,黄金,商品,Low,AU9999.SGE,,商品
